Processed_Job_Title,Processed_Job_Description
comptable saisie,poste vacants poste ouvert type désiré an niveau bac grand langue français genre indifférent description comptable saisie lorsque leader européen a commencé expansion lest très vite tombé amoureux vision environnement agile cherchant toujours découvrir davantage cette extraordinaire activité responsable fournisseur service implanté compte an recherchons constamment solution aider propriétaire capitaliser leurs stock invendu fin série produit date courte commande annulées devenir efficaces grâce tout cela consolide renommée basée ’ engagement transparence solidarité continue compétence souhaitons renforcer équipe recruter « comptable saisie » principale responsabilité communiquer client autres département saisir opération comptable mettre jour régulièrement base donnée mise jour régulière base donnée fournisseur sécurisation confidentialité maximale document spécifiques gestion boite mail assurer confidentialité information document relatif partenaire projet exigence profil titulaire diplôme comptabilité finance an ’ expérience poste similaire niveau français connaissance plus sens détail gestion stress organisation flexibilité adaptation dynamisme avantage travaillez environnement chance démarquer réelles opportunité développement professionnel salaire attractif formation internationale déplacement ’ étranger équipe travail jeune dynamique date mot clé comptable saisie service
commercial business,poste vacants poste ouvert type désiré temps plein débutant niveau licence bac langue anglais arabe genre indifférent description tant business impliquée projet passionnants visant développer portefeuille client identifier nouvelle opportunité contribuer stratégie croissance exigence principale responsabilité analyse marché identification commerciale participation stratégie développement prospection active nouveau client partenaire contribution négociation conclusion contrat exigence anglais courant étudiant fin cursus commerce marketing domaine similaire intérêt marqué développement commercial croissance excellentes compétence communication négociation date
formateur introduction secteur bancaire assurance,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur introduction secteur bancaire assurance dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel formation formateur introduction secteur bancaire assurance
formateur marketing digital,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur marketing digital dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel
offre caissier supermarché,poste vacants poste ouvert type désiré temps plein description dynamique souriante sens service client rejoignez équipe tant caissier supermarché responsabilité accueillir encaisser client courtoisie efficacité scanner article précision rapidité assurer service clientèle qualité répondant question offrant assistance si nécessaire maintenir propreté espace travail exigence expérience préalable tant caissier atout excellentes compétence communication service client capacité travailler efficacement environnement dynamique flexibilité horaire compris soirée date mot clé caissier
conseiller vente,poste vacants poste ouvert type désiré temps plein niveau bac professionnel cap genre féminin description pâtisserie recrute conseiller vente jeune dynamique sérieux motivés saisissez cette opportunité relancer carrière faite travail plaisir toujours renouvelé exigence niveau minimum bac préférence diplôme commerce marketing expérience précédente moins vente restauration bonne présentation physique hygiène personnelle compétence suivant excellentes compétence communication relation interpersonnelles travail équipe passion pâtisserie date
société travaux cherche recruter technicien supérieur génie civil,poste vacants poste ouvert type désiré an description société travaux cherche recruter technicien supérieur génie civil date
spécialiste prospection téléphonique secteur énergie renouvelables,poste vacants poste ouvert type désiré temps plein temps partiel indépendant intérim saisonnier contrat an rémunération proposée entre langue français genre indifférent description offre spécialiste prospection téléphonique secteur énergie renouvelables groupe recherche client entreprise dynamique pleine croissance domaine énergie renouvelables spécialiste prospection téléphonique dotée dune première expérience concluante secteur si passionné vente disposez dune excellente élocution recherche poste stable offrant réelles stratégie prospection rejoignez équipe jeune positive mission sein groupe responsabilité commerciale client secteur énergie renouvelables utilisant riche plus contact client prospect demande rappel rôle qualifier fiche client prendre commerciale client gérer base donnée opération e-mail relance téléphoniques suivre chiffre commercial profil recherché expérience prospection téléphonique énergie renouvelables fibre commerciale goût challenge vente français écrit oral parfait connaissance domaine énergie renouvelables intérêt marketing digital formation vente fournie certification offrons position clé sein dune entreprise pleine expansion formation chef projet digital environnement travail jeune positif ambitieux poste basé postuler si cette opportunité intéresse envoyez directement business réponds toutes candidature audio notez téléphonique profil non retenus réponse audio fournie rejoignez beau équipe groupe construisez carrière expert marketing vente attendons impatience merci intérêt cordialement groupe exigence expérience prospection téléphonique énergie renouvelables fibre commerciale goût challenge vente français écrit oral parfait connaissance domaine énergie renouvelables intérêt marketing digital formation vente fournie certification date mot clé vente commercial marketing
formateur technologie communication secteur bancaire assurance,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur technologie communication secteur bancaire assurance dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel formateur technologie communication secteur bancaire assurance assurance banque technologie
talent acquisition chargée recrutement,poste vacants poste ouvert type désiré temps plein contrat description bonjour recherchons chargée recrutement profil informatique rejoindre équipe recrutement afin monter compétence profil besoin confiés ’ abord accompagnement imprégner environnement technique mission rédaction annonce diffusion canal appropriés ’ approche directe candidat etc téléphoniques français obligatoire exigence téléphonique date
commis cuisine,poste vacants poste ouvert type désiré an niveau lycée niveau bac rémunération proposée confidentiel langue français arabe description participer contrôle stockage marchandise lors livraison rassembler ingrédient nécessaire préparation plat éplucher couper encore émincer légume respecter fiche technique bonne exécution préparation culinaires participer ’ envoi plat délai souhaité client veiller ’ entretien cuisine matériel respecter scrupuleusement règle ’ hygiène sécurité exigence cap cuisine métier restauration ’ hôtellerie mention complémentaire restauration bac professionnel cuisine rigoureux organisé sens détail qualité aimer travail équipe passion cuisine savoir utiliser correctement équipement différent ustensile cuisine maîtriser chaîne froid mode conservation produit alimentaires connaître procédure conditionnement nettoyage désinfection connaître respecter règle ’ hygiène sécurité alimentaire date mot clé hôtel cuisine restauration hôtellerie
magasinier,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée entre langue français arabe genre masculin description grossiste répartiteur médicament recrute magasinier exigence niveau bac sérieux ponctuel date mot clé recrute offre pharmacie médicament ben offre travail magasinier cherche achat magasin magasinier besoin offre
société travaux cherche recruter ingénieur génie civil débutant,poste vacants poste ouvert type désiré an description société travaux cherche recruter ingénieur génie civil débutant date
formateur fiscalité réglementation bancaire assurance,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur fiscalité réglementation bancaire assurance dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel formateur fiscalité réglementation bancaire assurance
formateur gestion portefeuille,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur gestion portefeuille dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel formateur gestion portefeuille
société travaux cherche recruter ingénieur génie civil,poste vacants poste ouvert type désiré langue français arabe description société travaux cherche recruter ingénieur génie civil permet participation conception projet réalisation technique plan dessin utilisation logiciel modélisation dessin assisté ordinateur collaboration ingénieur professionnel secteur capacité lire interpréter plan schéma technique connaissance réglementation norme construction aptitude travailler équipe communiquer efficacement date
technicien supérieur junior,poste vacants poste ouvert type désiré débutant niveau licence bac langue français anglais arabe description recherche ’ entreprise ambitieux donne ’ opportunité ’ évoluer environnement stimulant intégrer ’ équipe « gérance informatique » entreprise spécialisée sécurité système réseau informatique ’ avant tout rejoindre équipe soudée partage culture ’ entreprise tournée ver valorisation mérite performance cadre renforcement équipe gérance informatique cherche recruter technicien supérieur junior mission principale assurer déploiement ’ installation mise production solution acquises client formation utilisateur analyser incident diagnostiquer résoudre erreur problème technique rencontrés chez client tout respectant délai contractuel défini instruction planning projet assurer rapide efficace erreur problème technique rencontrés chez client réaliser présentation technique etc chez client identifier anomalie définir issue répondre efficacement question client communiquer assurer remontée risque lié projet garantir efficacité projet terme qualité délai suivre mettre jour planning déploiement coordination directeur technique configurer ajuster paramétrages solution traitées chez client bien interne assurer maintenance préventive curative évolutive solution acquises client contribuer proposition technique réponse consultation appel ’ offre rédiger cahier charge assurer communication réactive ticket support partenaire éditeur solution usager fonctionnels garantir veille permanente technologie actuelles relativement solution représentées société exigence titulaire ’ diplôme licence ’ sécurité informatique équivalent organisé justifiez qualité relationnelles ’ analyse synthèse prise ’ initiative excellente langue français langue anglaise langue arabe titulaire ’ diplôme licence ’ sécurité informatique équivalent organisé justifiez qualité relationnelles ’ analyse synthèse prise ’ initiative excellente langue français langue anglaise langue arabe date
formateur,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel formateur
formateur ressource humaines,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur ressource humaines dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel oscar formation professionnel formateur ressource humaines
société transport recrute agent commercial,poste vacants poste ouvert type désiré temps plein an niveau licence bac rémunération proposée entre genre masculin description prospection nouveau client portefeuille client présentation produit service négociation vente réalisation document vente bon commande devis… suivi objectif vente remontée information terrain direction exigence parfaite connaissance produit service commercialisés excellente élocution aptitude rédaction capacité créer réseau client maîtrise technique vente aptitude gestion comptable administratif date
spécialiste rénovation automobile,poste vacants poste ouvert type désiré an genre masculin description garage innovant spécialisé service haute qualité voiture luxe situé offrons client service réparation personnalisation exceptionnel rejoignant intégrez équipe passionné domaine automobile mission principale tant spécialiste rénovation automobile responsabilité incluront appliquer traitement protection avancés tels traitement céramique film protection peinture réaliser rénovation cuir nettoyage vapeur polissage véhicule restaurer maintenir esthétique conseiller client meilleur solution rénovation protection adaptées leurs besoin assurer qualité service fournis veiller respect standard utiliser entretenir correctement produit rénovation rester jour dernier technique produit domaine rénovation automobile exigence expérience prouvée rénovation automobile spécifiquement traitement céramique rénovation cuir nettoyage vapeur polissage connaissance approfondie technique produit rénovation automobile capacité travailler manière précise détaillée excellentes compétence communication service client passion engagement envers travail réalisé capable travailler équipe manière autonome offrons rôle clé sein dune entreprise renom spécialisée voiture luxe environnement travail stimulant accès formation continues maîtriser dernier innovation secteur opportunité travailler projet variés haut gamme date
,poste vacants poste ouvert type désiré temps plein an rémunération proposée entre langue français description rejoignez équipe carrière tant exceptionnel transformez chaque appel opportunité dominez vente évoluez environnement stimulant recrute émission mission contacter particulier cadre ’ étude comparative contrat énergie étudier leurs besoin proposer meilleur offre répondent leurs attente exigence profil langue français dynamique goût challenge passionné vente orienté satisfaction client réactif force proposition offrons salaire mensuel net selon profil régime heure off prime atteignables non plafonnée carte repas rechargeable dune valeur contrat formation rémunérée continue challenge hebdomadaire prime parrainage dinar convention partenariat diversifiées plan carrière cadre travail agréable emplacement idéal proximité tous moyen transport bus métro transport assuré taxi possibilité télétravail exigence connaissance obligatoire énergie total ohm date
,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée entre description profil recherché passion design graphique excellente maîtrise outil capacité travailler manière autonome respecter délai esprit ’ équipe irréprochable comment postuler envoyez date
agent administratif,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée entre langue français arabe genre féminin description jeune femme diplôme gestion finance poste agent administratif coordonner service gestion service vente facturation suivie règlement client exigence jeune femme bac plus sérieux appliqué date mot clé compétence confiance rigueur
adjoint chef ingénieur mécanique,poste vacants poste ouvert type désiré an niveau bac grand genre indifférent description description nouveau concept garage automobile spécialisé réparation voiture luxe notamment marque jaguar mission service plus haute qualité clientèle exigeante utilisant technologie plus avancée équipe passionné rejoindre faire partie dune entreprise pointe passion quête rencontrent mission principale tant chef chez mission chef gestion quotidien atelier spécialisé marque jaguar contribuer continue processus assurer efficacité qualité service irréprochables participer activement résolution problématique technique spécifiques marque haut gamme équipe technique garantir niveau compétence exceptionnel veiller respect norme sécurité qualité particulièrement cruciales domaine voiture luxe jouer rôle essentiel satisfaction clientèle prestige exigence profil recherché diplômé dune école mécanique passionné intérêt spécifique marque jaguar capable travailler équipe communiquer efficacement faire preuve leadership organisée capable gérer plusieurs projet simultanément nouveau diplômé bienvenu expérience préalable marque atout motivée rejoindre entreprise pleine croissance offrant réelles perspective dévolution offrons opportunité unique travailler marque voiture luxe reconnues mondialement environnement travail stimulant axé passion qualité programme formation continues accompagner développement professionnel date mot clé automobile mécanique gestion projet chef
agent achat étranger suivie logistique,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée entre langue français anglais arabe genre féminin description coordonner transport marchandise collaborant service transport international fournisseur sou directive responsable achat organiser expédition assurant suivie réception finale marchandise aider responsable achat gérer procédure dédouanement formalité administratif liées importation veillant conformité réglementation locale internationale exigence diplôme universitaire commerce expérience préalable poste similaire maîtrise procédure transport international dédouanement maîtrise langue français anglais parlé écrit date mot clé compétence confiance rigueur
stage,poste vacants poste ouvert type désiré temps plein description institut recherche stagiaire rejoindre équipe marketing design création digitale impliquée projet créatif tout utilisant connaissance informatique contribuer croissance digitale date mot clé stagiaire
offre stage comptabilité paie,poste vacants poste ouvert type désiré intérim description description entreprise spécialisée développement logiciel informatique gestion cadre expansion projet cour recherchons stagiaire assister développement module comptabilité paie description stage proposons stage projet fin candidat issu dune formation gestion appliquée stagiaire amené travailler étroite collaboration équipe développement contribuer conception mise nouveau module comptabilité paie responsabilité analyser besoin fonctionnels utilisateur développement module participer conception module collaboration développement assister développement apportant expertise fonctionnelle tester valider fonctionnalité développée exigence étudiant dernier année dune formation gestion appliquée bonne compréhension principe comptabilité paie capacité analyser besoin fonctionnels traduire spécification technique fort compétence communication travail autonomie résolution problème date
technicien supérieur électricité,poste vacants poste ouvert type désiré contrat an description technicien supérieur électricité min an date
responsable magasin,poste vacants poste ouvert type désiré temps plein contrat an niveau licence bac langue français genre indifférent description • expérience antérieure gestion magasin vêtement femme homme enfant préférence tant directeur assistant directeur • excellentes compétence gestion ’ équipe communication • passion mode connaissance tendance actuelle date
technicien supérieur informatique débutant,poste vacants poste ouvert type désiré temps plein débutant niveau licence bac rémunération proposée entre langue français genre masculin description groupe société opérant plusieurs secteur ’ activité cherche renforcer capital humain recrutement technicien supérieur informatique débutant mission assistance technique installation maintenance diagnostic résolution problème gestion réseau sauvegarde récupération formation utilisateur veille technologique exigence profil diplôme licence appliquée informatique aucune expérience débutant date
agent téléopération,poste vacants poste ouvert type désiré temps plein an rémunération proposée entre langue français genre indifférent description centre élargit horizon souhaite intégrer professionnel aguerris domaine prise recherche futur collaborateur accepte débutant bon niveau français activité prise rendez-vous français propose salaire fixe prime objectif moi challenge quotidien multiple contrat assuré formation continue si voulez faire partie dune entreprise grandit compétence reconnues contribuer succès marché français prise exigence bon niveau français date mot clé centre téléopérateur téléopératrices
magasinier gestionnaire stock pièce automobile,poste vacants poste ouvert type désiré an niveau bac professionnel cap genre indifférent description concept automobile innovant spécialisé voiture luxe notamment jaguar mission service réparation plus haute qualité grâce équipe passionné dédiée rejoignant engagez projet ambitieux excellence passion automobile premier plan mission principale tant magasinier gestionnaire stock essentiel bon fonctionnement mission garantir disponibilité pièce automobile nécessaire satisfaire efficacement demande pièce équipement entretenir relation optimales fournisseur sécuriser qualité rapidité livraison effectuer déplacement retrait pièce chez fournisseur autres point distribution gérer stock manière prévenir toute rupture tout optimisant stockage disponible assurer suivi précis mouvement stock mise jour information système gestion exigence diplôme logistique fortement préféré soulignant spécialisation compréhension approfondies principe gestion stock expérience gestion stock idéalement secteur pièce automobile connaissance approfondie pièce automobile application aisance outil informatique logiciel gestion stock indiquant capacité rapidement nouveau système excellentes capacité organisationnelles communication négociation permis conduire valide disponibilité déplacement régulier autonomie dynamisme rigueur indispensables réussir poste offrons rôle clé sein dune entreprise plein essor secteur voiture luxe chance travailler marque prestigieuses contribuer directement satisfaction clientèle environnement travail dynamique motivant date mot clé gestion stock pièce automobile
technicien mécanique spécialisé réparation,poste vacants poste ouvert type désiré an niveau bac professionnel cap genre masculin description concept novateur automobile spécialisé réparation voiture luxe telles jaguar mission service clientèle exigeante grâce équipe passionné compétente rejoindre projet ambitieux qualité passion primordiales mission principale tant technicien mécanique spécialisé réparation chez responsable diagnostiquer précision panne mécanique véhicule réaliser réparation nécessaire respectant standard qualité établi effectuer entretien périodique révision complètes véhicule utiliser équipement diagnostic électronique identifier résoudre problème technique collaborer technique partager connaissance optimiser processus réparation assurer communication efficace chef informer réparation contribuer satisfaction clientèle qualité service fourni exigence formation technique mécanique automobile expérience significative réparation mécanique idéalement voiture luxe excellente connaissance système mécanique électriques électronique véhicule capacité utiliser outil diagnostic électronique interpréter résultat aptitude travailler manière autonome tout membre actif souci détail engagement envers qualité travail permis conduire valide offrons travailler sein dune entreprise leader secteur voiture luxe environnement travail stimulant équipement pointe technologie formation continues rester jour dernier technologie méthode réparation date
centre sans expérience,poste vacants poste ouvert type désiré temps plein an niveau bac grand rémunération proposée entre langue français genre indifférent description centre international cherche recruter immédiatement sans expérience plusieurs opération but renforcer effet international offrons salaire motivants net fixe plus commission prime hebdomadaire non plafonnée contrat dé premier jour adapté situation affiliation centre propose titularisation bout moi seulement congé annuels payés convention banque assurance groupe exigence bonne langue français orale écrit date
responsable système,poste vacants poste ouvert type désiré temps plein an niveau maîtrise bac rémunération proposée entre langue français anglais genre indifférent description groupe société opérant plusieurs secteur ’ activité cherche renforcer capital humain recrutement responsable système mission stratégie politique informatique mise politique informatique définition suivi budget définition politique ’ assurer veille technologique concurrentielle mettre jour logiciel installer nouveau outil informatique suivre bon fonctionnement outil informatique résoudre dysfonctionnement réaliser rapport ’ activité nécessaire activité stratégie politique informatique définir direction générale orientation stratégiques matière ’ informatique définir politique matière sécurité informatique identification risque proposer mesure prendre recueillir étudier besoin exprimés chef département préconiser investissement informatique correspondant besoin métier exprimés tenant compte ’ efficacité risque assurer veille technologique juridique évolution secteur ’ entreprise matière système ’ information anticiper changement orienter choix direction générale matière technologie ’ information schéma directeur informatique mise politique informatique conduire plan ’ évolution système ’ information cadre budget acceptés conformément changement technologiques décidés direction générale superviser liaison entre autres département superviser rédaction cahier charge conformes besoin choix animer projet informatique réunion pilotage validation lien chef projet chef département définition suivi budget suivre ajuster budget département fonction technologie souhaitées solution possibles interne externe veiller maîtrise budget relatif modification système ’ information définition politique ’ politique ’ informatique ’ entreprise analyser offre prestation budget moyen humains clause particulières contrat… suivre relation prestataire contrôler ’ efficacité réalisation prestation tout long relation contractuel assurer veille technologique concurrentielle mettre jour logiciel installer nouveau outil informatique suivre bon fonctionnement outil informatique résoudre dysfonctionnement réaliser rapport ’ activité nécessaire exigence profil diplôme supérieur informatique justifiant dune expérience an minimum fonction similaires compétence management vision stratégique analyse risque capacité ’ analyse organisation communication date
graphiste,poste vacants poste ouvert type désiré temps plein débutant niveau licence bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description entreprise plein essor spécialise ’ entreprise offrant développement mesure entreprise caractère unique dotée ’ équipe extrêmement motivée ambitieux passionné performante recherchons personne passionné dynamique énergique joindra occuper poste graphique rôle responsabilité réaliser adaptation graphique tout genre selon demande divers département rechercher créer matériel publicitaire efficace respectueux limage marque aussi bien application média numériques traditionnels créer projet ’ identification visuel logo papeterie brochure etc créer produire document graphique vidéo clip art exigence rôle responsabilité réaliser adaptation graphique tout genre selon demande divers département rechercher créer matériel publicitaire efficace respectueux limage marque aussi bien application média numériques traditionnels créer projet ’ identification visuel logo papeterie brochure etc créer produire document graphique vidéo clip art date mot clé design graphique graphiste
commercial,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français anglais description diplômé ’ licence marketing commerce sollicité bonne rédaction français connaissance modéré anglais souhaitable bourse offre ’ opportunité faire partie équipe commerciale tout contact veuillez composer numéro date
adjoint chef ingénieur mécanique,poste vacants poste ouvert type désiré an niveau bac grand genre indifférent description nouveau concept automobile spécialisé réparation voiture luxe notamment marque jaguar mission service plus haute qualité clientèle exigeante utilisant technologie plus avancée équipe passionné rejoindre faire partie dune entreprise pointe passion quête rencontrent mission principale tant chef chez mission chef gestion quotidien atelier spécialisé marque jaguar contribuer continue processus assurer efficacité qualité service irréprochables participer activement résolution problématique technique spécifiques marque haut gamme équipe technique garantir niveau compétence exceptionnel veiller respect norme sécurité qualité particulièrement cruciales domaine voiture luxe jouer rôle essentiel satisfaction clientèle prestige exigence diplômé dune école mécanique passionné intérêt spécifique marque jaguar capable travailler équipe communiquer efficacement faire preuve leadership organisée capable gérer plusieurs projet simultanément nouveau diplômé bienvenu expérience préalable marque atout motivée rejoindre entreprise pleine croissance offrant réelles perspective dévolution offrons opportunité unique travailler marque voiture luxe reconnues mondialement environnement travail stimulant axé passion qualité programme formation continues accompagner développement professionnel date mot clé automobile mécanique gestion projet chef
commercial,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description entreprise spécialisé vente équipement restauration café esprit ’ exclusivement réservé professionnel ambition révolutionner fonctionnement achat professionnel déjà présent cadre renforcement équipe commerciale cherchons commercial confirmé mission charge client partenaire chargé conseiller gérer demande commerciale client téléphone e-mail office objectif trouver solution adéquats répondre besoin client tout respectant cadre procédure définies exigence maîtrise parfaite langue français anglaise diplôme expérience marketing vente directe a outil informatique maîtrise technique négociation technique vente fortement apprécié tempérament commercial avoir sens relation client téléphone connaissance secteur commerce plus date
chef,poste vacants poste ouvert type désiré indépendant an rémunération proposée confidentiel langue français genre féminin description mission ’ agit vendre encart publicitaire auprès entreprise français développer portefeuille client collaborer toutes équipe rédaction maquette exigence profil cherchons chef publicité femme âgées an plus rigoureuses souriantes téléphone parlent parfaitement français esprit commercial relationnel savoir gérer temps flexibilité atout permettront réussir poste postuler merci date mot clé vente marketing télécommunication
gestionnaire stock logistique,poste vacants poste ouvert type désiré temps plein langue français anglais arabe genre indifférent description cadre renforcer équipe société distribution système sécurité électronique « cap technologie » située cherche recruter gestionnaire stock logistique mission gérer transporteur négocier tarif préparation dépôt dossier ’ niveau ministère superviser réception marchandise vérifiant conformité commande pointage article suivre niveau stock éviter pénurie organiser stockage initial produit reçu planifier optimiser stockage mettre place système classification faciliter localisation produit assurer suivi livraison garantir arrivée destination traiter retour produit défectueux non conformes gérer retour produit excédentaires exigence être capable faire effort physique lors date mot clé gestionnaire stock logistique
,poste vacants poste ouvert type désiré an niveau bac professionnel cap rémunération proposée confidentiel langue français anglais arabe genre indifférent description assurer chaîne opération fabrication pizza depuis distribution réaliser fabrication cuisson pizza four électrique peut être amené concevoir nouveau produit peut aussi faire service vente directe évaluation quantité produit commander réception matière première ingrédient vérification qualité produit découpe pâton main machine défournement enfournement entretien four local fleurage étalement boule pâte garnissage boule pâte ingrédient recette pesée farine ingrédient préparation pâte pétrissage main machine préparation ingrédient fonction spécialité proposées restaurant surveillance cuisson rotation répétées pizza exigence découpe pâton main machine défournement enfournement entretien four local fleurage étalement boule pâte garnissage boule pâte ingrédient recette pesée farine ingrédient préparation pâte pétrissage main machine préparation ingrédient fonction spécialité proposées restaurant surveillance cuisson rotation répétées pizza date
agent nettoyage valet chambre,poste vacants poste ouvert type désiré an niveau bac professionnel cap rémunération proposée confidentiel langue français arabe genre masculin description nettoyer chambre salle bain autres zone ’ hôtel assigné changer literie faire lit rajouter lit ’ appoint si besoin remplacer produit ’ accueil changer serviette régulièrement faire ’ inventaire chambre avant après nettoyer poussière chambre passer ’ aspirateur ’ assurer toutes norme ’ hygiène respectées tout ’ hôtel exigence personne engagé poste devrait satisfaire exigence suivant être passionné propreté être organisée autonome être capable respecter procédure norme être sensibilisée norme ’ hygiène sécurité faire preuve souplesse ’ grand force physique avoir approche orientée service aspect soigné date mot clé hôtel hôtellerie commerce
réceptionniste,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description réceptionniste véhicule ’ image ’ hôtel attitude exemplaire accueil chaleureux convivial professionnalisme disponibilité enregistre réservation client • accueille prend charge client depuis arrivée départ • contribue satisfaction permanente assurant prestation qualité tout long séjour • contribue réalisation objectif quantitatifs service action vente accueille client dès arrivée prévenance attention • contribue relation chaleureuse personnalisée • veille procédure administratif prennent jamais relation client • prend compte anticipe besoin client • gère objection remarque éventuelles client veille apporter réponse meilleur délai possible respect contrat hôtelier • véhicule attitude irréprochable ’ image marque hôtel ▪accueillir client accompagner chambre ▪ vérifier réservation préparer arrivée départ ▪ contrôler facturation ▪ gérer standard téléphonique ▪ traiter e-mail ▪ effectuer suivi après chaque départ assure opération liées départ client respect procédure interne • renseigne client condition séjour formalité service proposés • gère appel téléphoniques • transmet information nécessaire autres service étage technique autres membre service • ’ assure disponibilité ’ actualité document produit fourniture nécessaire service client • effectue prise réservation • prépare sert encas petit déjeuner dehors heure restaurant exigence sens relationnel adaptabilité disponibilité matin soir pratique langue étranger minimum aisance relationnelle sens ’ accueil service • esprit ’ équipe • capacité ’ écoute ’ anticipation • bonne présentation bonne élocution • dynamisme • esprit commercial date mot clé hôtel réceptionniste hôtellerie hôtel
chargée recrutement talent acquisition,poste vacants poste ouvert type désiré description cabinet conseil recrutement met disposition client expert recrutement accompagner processus talent agrandir équipe cherchons chargée recrutement confirmé afin client leurs projet recrutement a mission piloter projet recrutement suivi auprès client candidat conseiller client mener entretien exigence langue français date mot clé chargée recrutement talent acquisition ressource humaines
formateur,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel
formateur,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel
formateur java,poste vacants poste ouvert type désiré temps partiel an niveau bac grand description recrutement formateur java dispenser enseignement mission concevoir élaborer contenu pédagogiques support cour animer cour participer différent temps formation progression candidat exigence technique pédagogiques concevoir outil formation pédagogiques actualiser outil formation pédagogiques sens communication capacité travail équipe date mot clé oscar formation professionnel
chef partie,poste vacants poste ouvert type désiré an niveau lycée niveau bac rémunération proposée confidentiel langue français arabe genre indifférent description sou responsabilité chef cuisine chef partie cuisinier expérimenté dirige équipe cuisinier consacrée domaine spécifique comme viande poisson légume encore plat froid contrôler ranger marchandise partie fabriquer dresser envoyer plat relevant partie organiser contrôler travail commis cuisine apprenti respecter règle ’ hygiène sécurité veiller offrir client produit qualité exigence cuisine bac professionnel restauration bac technologique hôtellerie tâche culinaires excellente connaissance produit ’ utilisation équipement cuisine capacité ’ organiser diriger travail équipe connaissance respect règle ’ hygiène sécurité alimentaire rigoureux organisé créatif aimer travail équipe résistance stress fort cadence travail date mot clé hôtel hôtellerie restauration
chargée recrutement talent acquisition,poste vacants poste ouvert type désiré temps plein temps partiel contrat langue français description bonjour recherchons chargée recrutement rejoindre équipe recrutement afin monter compétence profil besoin confiés ’ abord accompagnement imprégner environnement technique mission rédaction annonce diffusion canal appropriés ’ approche directe candidat etc téléphoniques français obligatoire exigence français bilingue date mot clé chargée recrutement talent acquisition administration gestion
